,Ingredient,Pre,Normalization,Freq
308,Uova di salmone,uova di salmone,uova,23
309,Zafferano,zafferano,zafferano,177
310,Pancetta (tesa),pancetta,pancetta,245
311,Liquore alle erbe,liquore alle erbe,liquore,38
312,Lemon curd,lemon curd,lemongrass,13
313,Mandorle,mandorle,mandorle,415
314,Cioccolatini,cioccolatini,cioccolatini,105
315,Smarties,smarties,smarties,1
316,Palline colorate,palline colorate,palline colorate,2
317,Torrone,torrone,torrone,25
318,Anacardi,anacardi,anacardi,23
319,Edamer,edamer,edamer,40
320,Vaniglia,vaniglia,vaniglia,845
321,Semi di papavero,semi di papavero,semi di papavero,88
322,Conchiglioni,conchiglioni,conchiglioni,17
323,Carne di suino,carne di suino,carne di suino,202
324,Patate bianche,patate bianche,patate,1000
325,Coniglio,coniglio,coniglio,65
326,Prugne,prugne,prugne,37
327,Zenzero fresco,zenzero fresco,zenzero fresco,285
328,Marsala,marsala,marsala,121
329,Strutto,strutto,strutto,134
330,Noci,noci,noci,222
331,Mele Golden,mele golden,mele golden,47
332,Chiodi di garofano macinati,chiodi di garofano macinati,chiodi di garofano macinati,180
333,Pesche,pesche,pesche,106
334,Fagioli neri secchi,fagioli neri secchi,fagioli,87
335,Cumino,cumino,cumino,79
336,Coriandolo,coriandolo,coriandolo,67
337,Mele Cotogne,mele cotogne,mele cotogne,6
338,Castagne,castagne,castagne,56
339,Carrè di vitello,carrè di vitello,carrè di agnello,492
340,Brodo di carne,brodo di carne,brodo di carne,219
341,Fragoline di bosco,fragoline di bosco,fragoline di bosco,31
342,More,more,more,68
343,Ribes rosso,ribes rosso,ribes rosso,85
344,Confettura di melagrana,confettura di melagrana,confettura,46
345,Fontal,fontal,fontal,4
346,Pomodori secchi,pomodori secchi,pomodori secchi,141
347,Acqua gassata,acqua gassata,acqua gassata,43
348,Ghiaccio,ghiaccio,ghiaccio,50
349,Pomodori secchi sott'olio,pomodori secchi sott'olio,pomodori secchi sott'olio,141
350,Semi di girasole,semi di girasole,semi di girasole,28
351,Semi di lino,semi di lino,semi di lino,19
352,Semi di zucca,semi di zucca,semi di zucca,33
353,Farina di ceci,farina di ceci,farina di ceci,26
354,Filetti di tonno,filetti di tonno,filetti di tonno,101
355,Ceci precotti,ceci precotti,ceci precotti,48
356,Tahina,tahina,tahina,18
357,Paprika affumicata,paprika affumicata,paprika affumicata,272
358,Amarene sciroppate,amarene sciroppate,amarene sciroppate,47
359,Fichi,fichi,fichi,82
360,Pistacchi non salati,pistacchi,pistacchi,193
361,Paprika,paprika,paprika,272
362,Mirto,mirto,mirto,20
363,Bucatini,bucatini,bucatini,26
364,Piselli surgelati,piselli surgelati,piselli surgelati,302
365,Latte di cocco,latte di cocco,latte di cocco,57
366,Pancarrè integrale,pancarrè integrale,pancarrè,96
367,Mirtilli rossi,mirtilli rossi,mirtilli rossi,144
368,Confettura di fragole,confettura di fragole,confettura di fragole,22
369,Peperoncino,peperoncino,peperoncino,468
370,Yogurt,yogurt,yogurt,129
