Def,Freq,Freq_Cucchiaio,Freq_GZ,Freq_RR
formaggio di fossa,3,2,1,0
formaggio di malga,2,2,0,0
formaggio fresco,38,28,7,3
formaggio magro,3,3,0,0
formaggio stagionato,6,6,0,0
fragole,249,138,111,0
fragoline di bosco,31,26,5,0
fragolino,1,1,0,0
fregola,18,5,13,0
fresco,1,1,0,0
friarielli,4,1,1,2
friggitelli,9,3,6,0
friselle,9,5,4,0
frittata,1,1,0,0
frittatina,1,1,0,0
frolla al cioccolato fondente,1,1,0,0
frollini,2,2,0,0
fromage blanc,1,0,1,0
frumina,6,0,6,0
frutta,22,19,2,1
frutta candita,33,21,7,5
frutta fresca,8,5,3,0
frutta secca,10,8,2,0
fruttapec,3,0,3,0
frutti della passione,19,12,7,0
frutti di bosco,72,35,37,0
frutti di mare,4,4,0,0
frutti rossi,10,10,0,0
fruttosio,4,1,3,0
fumetto di crostacei,6,0,6,0
fumetto di pesce,26,22,4,0
funghetti sott'olio,6,5,0,1
funghi,48,20,15,13
funghi champignon,90,16,74,0
funghi chiodini,8,2,6,0
funghi misti,13,11,0,2
funghi orecchioni,6,0,6,0
funghi pioppini,6,5,1,0
funghi porcini,107,46,47,14
funghi porcini secchi,8,8,0,0
funghi secchi,48,37,2,9
fusilli,71,31,39,1
fusilli integrali,10,2,8,0
fusilloni,5,3,2,0
gallette,3,3,0,0
gallinella,13,6,6,1
gamberetti,67,45,20,2
gamberi,194,75,114,5
gamberoni,28,18,9,1
ganache cioccolato,1,1,0,0
garam masala,11,9,2,0
garganelli all'uovo,9,4,5,0
gari,1,1,0,0
gassosa,2,0,2,0
gattucci di mare,1,1,0,0
gelatina,429,230,199,0
gelato,8,5,2,1
gelato al cioccolato,5,3,1,1
gelato al fiordilatte,11,5,6,0
gelato alla crema,5,3,2,0
gelato alla fragola,5,4,1,0
gelato alla panna,4,1,3,0
gelato alla vaniglia,6,5,0,1
germogli,15,14,1,0
germogli di barbabietola,5,0,5,0
germogli di soia,23,9,14,0
ghaat cotto,1,1,0,0
gherigli di noci,68,0,68,0
ghiaccio,50,26,24,0
giardiniera,2,2,0,0
gin,7,6,1,0
ginepro,89,41,48,0
ginger beer,3,1,2,0
giuggiulena,1,1,0,0
glace di carne,1,1,0,0
glassa al cioccolato,2,2,0,0
glassa di aceto balsamico,8,3,5,0
glicerina,2,0,2,0
glucosio,35,15,20,0
glutine di frumento,1,0,1,0
gnocchetti di patate,1,0,1,0
gnocchetti sardi,12,4,8,0
gnocchi di patate,22,20,1,1
gobbo,2,2,0,0
gocce di cioccolato,11,0,11,0
gocce di cioccolato bianco,7,0,7,0
gocce di cioccolato fondente,71,0,70,1
golden syrup,1,0,1,0
gomiti rigati,1,1,0,0
gomma di gellano,1,1,0,0
gomma di xantano,4,2,2,0
gorgonzola,83,33,49,1
gorgonzola dolce,18,18,0,0
gorgonzola piccante,12,12,0,0
gouda,2,2,0,0
gramigna,1,1,0,0
grana padano dop,591,230,337,24
granatina,3,3,0,0
granceola,6,5,0,1
granchio,14,11,2,1
grand marnier,34,19,15,0
granella di cioccolato,4,3,1,0
granella di mandorle,19,15,4,0
granella di nocciole,102,38,63,1
granella di pistacchi,70,25,45,0
granella di zucchero,27,6,21,0
granita al caffè,1,1,0,0
grano,3,3,0,0
grano cotto,9,6,2,1
grano saraceno,6,6,0,0
granulare di soia,1,1,0,0
grappa,56,34,12,10
grasso di prosciutto,8,6,0,2
grattato,1,0,0,1
grissini,8,7,1,0
gronghi,1,0,0,1
groviera,90,59,30,1
guacamole,2,1,1,0
guanciale,54,24,22,8
guinness,1,1,0,0
gusci,1,1,0,0
gusci d'uovo,1,1,0,0
guttiau,1,1,0,0
génépy,1,1,0,0
harissa,2,2,0,0
hummus,1,1,0,0
ikura,1,1,0,0
impasto base,2,2,0,0
indivia belga,16,10,6,0
indivia riccia,5,5,0,0
inglese,1,1,0,0
insalata,75,61,14,0
insalata misticanza,28,6,21,1
insalata riccia,17,16,1,0
insalata romana,25,19,6,0
insalata russa,6,5,1,0
insalata valeriana,14,12,2,0
isomalto,1,0,1,0
jack daniel's barbecue sauce,2,0,2,0
jamon de bellota,1,1,0,0
jampet leaves koppert cress,1,1,0,0
kaffir,1,1,0,0
kamut,3,3,0,0
ketchup,38,20,18,0
kikinger,1,1,0,0
kinder bueno,2,2,0,0
kirsch,22,20,2,0
kiwi,47,29,18,0
kummel,4,4,0,0
kumquat,4,2,2,0
lambrusco,5,3,1,1
lampascioni,3,2,1,0
lamponi,214,123,91,0
lampuga,2,2,0,0
langres,1,0,1,0
lardo,114,74,11,29
lardo di colonnata,12,0,12,0
lasagne,51,12,39,0
latte,2242,1153,1018,71
latte condensato,97,34,63,0
latte di capra,2,2,0,0
latte di cocco,57,33,24,0
latte di mandorle,32,8,24,0
latte di riso,14,3,11,0
latte di soia,42,21,21,0
latte vegetale,5,5,0,0
latticello,12,2,4,6
lattina,1,1,0,0
lattuga,112,83,22,7
lattuga iceberg,16,0,16,0
lattughino,7,6,0,1
lauro,1,0,0,1
leaves koppert cress,1,1,0,0
lecitina di soia,5,3,2,0
legno,4,4,0,0
legumi misti,4,2,2,0
lemongrass,13,2,11,0
lenticchie,49,31,17,1
lenticchie secche,28,5,23,0
lentisco,1,1,0,0
lesso,1,1,0,0
licoli,10,10,0,0
lievito,994,433,540,21
lievito di birra,364,156,174,34
lievito fresco,176,32,144,0
lievito madre,30,14,16,0
lievito secco,8,8,0,0
lievito vanigliato,67,66,0,1
lime,135,94,41,0
limonata,1,0,1,0
limoncello,19,7,12,0
limone,1394,1104,159,131
lingua di bovino,7,7,0,0
lingua salmistrata,10,9,1,0
lingue di gatto,2,2,0,0
linguine,56,27,27,2
liquirizia,21,16,5,0
liquore,38,28,3,7
liquore all'anice,8,1,7,0
liquore all'arancia,8,8,0,0
liquore sassolino,6,5,0,1
liquore strega,8,6,0,2
lische di pesce,2,2,0,0
litchi,1,1,0,0
loertis,1,0,0,1
lonza di maiale,60,30,26,4
lonza di vitello,9,9,0,0
lordo di pastinaca,1,1,0,0
lorighittas,1,0,1,0
luccio,1,1,0,0
lucidante,1,1,0,0
luganega,23,7,16,0
lumache,10,1,3,6
lupini,5,4,1,0
macarons,2,1,1,0
maccheroncini,16,14,1,1
maccheroni,25,17,0,8
macedonia,1,1,0,0
macinato,13,10,0,3
macinato di bovino,51,35,0,16
macinato di pollo,5,1,0,4
macinato di suino,21,8,0,13
macis,5,5,0,0
mafaldine,4,4,0,0
magatello,3,3,0,0
maggiorana,288,147,113,28
magret canard,1,1,0,0
magro di vitello,1,0,0,1
maionese,139,103,36,0
mais,31,20,10,1
maizena,68,68,0,0
malloreddus,4,4,0,0
maltagliati,8,7,0,1
malto,79,12,67,0
mammelle di vitello,1,0,0,1
mandaranci,1,1,0,0
mandarinetto,2,2,0,0
mandarini,29,20,9,0
mandorle,415,243,136,36
mandorle pelate,146,67,77,2
mandorle tostate,9,9,0,0
mango,61,35,26,0
maniche di frate,2,2,0,0
manioca,1,1,0,0
maraschino,21,14,6,1
margarina vegetale,10,4,5,1
mariola,1,1,0,0
marmellata,46,36,7,3
marmellata d'albicocche,10,10,0,0
marmellata d'arancia,6,6,0,0
marmellata di albicocche,14,7,1,6
marmellata di arance,28,9,19,0
marmellata di castagne,7,7,0,0
marmellata di fragole,12,11,1,0
marmellata di lamponi,7,6,1,0
marron glacè,20,18,2,0
marsala,121,84,26,11
marshmallow,1,0,1,0
martini dry,5,5,0,0
marzapane,11,1,10,0
mascarpone,213,117,93,3
mascolini,2,1,0,1
massa di cacao,1,1,0,0
matite alimentari,9,0,9,0
mazzancolle,31,11,20,0
melagrana,50,28,18,4
melanzane,295,129,150,16
melanzane lunghe,18,16,1,1
melanzane tonde,25,19,6,0
melassa,4,3,1,0
